Word	Occurrences
aaron	24
abandon	4
abandoned	3
abase	1
abated	1
abatement	2
abhor	1
abide	21
abides	1
abiding	2
able	48
abode	30
abominable	1
abomination	8
abominations	2
abound	1
abounding	4
abraham	75
abroad	7
abrogate	1
absence	7
absent	1
absentees	1
absolute	2
absolve	1
absorbs	1
abstain	2
abstention	1
abundance	23
abundant	8
abundantly	3
accept	16
acceptable	6
accepted	22
accepteth	1
accepting	3
accepts	1
access	4
accession	1
accompanying	1
accomplish	6
accomplished	8
accomplisher	1
accord	5
accordance	2
according	37
accordingly	1
account	83
accountable	2
accrue	1
accrued	1
accurately	1
accursed	4
accuse	4
accused	2
accuser	1
ache	1
achieve	6
achieved	1
achievement	11
acknowledge	1
acknowledged	1
acknowledging	1
acquainted	51
acquire	3
acquiring	1
act	18
acted	2
acting	3
action	1
actions	6
active	2
acts	10
actually	10
ad	24
adam	25
add	16
added	4
addicted	1
adding	2
addition	3
additional	2
address	6
addressed	2
adds	3
adhered	1
adherents	4
adheres	1
adjudged	1
adjuration	2
adjust	1
administer	1
admiration	1
admit	29
admits	1
admitted	7
admonish	18
admonished	8
admonishers	1
admonition	56
adopt	7
adopted	4
adoration	12
adore	4
adorned	8
adornment	1
adornments	1
adultery	4
advance	9
advanced	2
advantage	6
advantageous	1
advantages	1
adversaries	1
adversary	2
adversity	10
advice	3
advise	1
adviser	2
advocate	1
affair	25
affairs	45
affected	1
affecteth	1
affection	5
affections	1
affirm	1
afflict	4
afflicted	6
affliction	3
afflictions	1
afflicts	1
affluence	1
afford	3
affording	1
affrighted	1
aforetime	29
afraid	8
afternoon	2
age	26
aged	1
agents	1
ages	5
aggressive	2
agitation	1
agony	3
agree	5
agreeable	2
agreed	2
agreement	2
ah	58
ahmad	1
aib	12
aid	24
aided	2
aiding	1
ailment	1
aim	5
ain	2
air	3
al	1
alas	7
alif	1
alike	9
alive	7
allah	3046
allahhead	1
allegations	1
allegorical	2
alliance	3
alliances	1
allies	1
allotted	2
allow	2
allowed	3
allows	1
allurements	1
allures	2
alluring	10
alms	3
alongside	1
aloud	8
altars	1
alter	1
alternates	1
alternation	5
altogether	5
amass	2
amazement	1
amazing	1
ambassadors	1
ambiguity	1
ambiguous	1
ambush	2
amend	2
amends	4
amicable	1
amid	1
amidst	1
ample	3
amplitude	1
amply	2
amuse	2
amused	1
amusement	9
ancestors	3
anchorites	2
ancient	4
ancients	15
anew	1
angel	13
angels	87
anger	2
angry	2
anguish	3
animal	5
animals	15
ankles	1
annihilate	1
annihilation	1
announce	7
announced	2
announcement	2
announceth	1
annoy	4
annoyance	2
annoyances	1
annoys	1
ansar	1
answer	23
answered	10
antagonists	1
anticipate	2
anticipation	2
ants	3
anxiety	1
anxious	2
apart	4
apartments	1
apes	3
apostates	2
apparel	1
appealed	1
appear	13
appeared	6
appeareth	1
appears	3
appeased	1
appetites	1
applies	2
appoint	11
appointed	59
appointment	5
apportion	1
apposite	1
appreciate	4
appreciative	1
apprehend	1
approach	20
approached	2
approaches	4
approaching	1
appropriate	1
approve	2
approved	5
arab	1
arabic	12
arabs	12
arafat	1
arbiters	1
arbitrary	1
arbitration	1
arches	1
ardent	1
ardently	2
argue	3
argument	9
arguments	1
aright	8
arise	2
arisen	1
arises	1
ark	19
arm	1
armies	3
armour	1
arms	6
army	3
arose	2
arrange	3
arranged	2
arrangeth	1
arranging	1
array	2
arrive	4
arrived	8
arrives	1
arrogance	12
arrogant	36
arrogantly	2
arrows	3
art	104
artery	1
article	1
articles	1
artistry	2
arts	1
ascend	1
ascendants	2
ascending	2
ascends	1
ascent	1
ascertain	2
ascertainable	1
ascertained	1
ascribe	14
ascribed	3
ascribing	1
ashamed	3
ashes	3
aside	11
ask	123
asked	21
askest	1
asking	4
asks	1
asleep	3
aspects	1
aspirations	1
aspire	1
ass	1
assail	1
assailants	1
assault	4
assaults	2
assemble	2
assembled	3
assembles	1
assemblies	2
assembly	9
assert	4
asses	1
assiduous	1
assiduously	1
assign	3
assigned	9
assigning	2
assignment	1
assigns	2
assist	4
assistance	3
assisted	1
assisting	1
associate	13
associated	1
associates	1
associating	2
assurance	9
assure	2
assured	9
assuredly	14
astray	59
asunder	17
asylum	5
ate	4
atom	5
atoms	1
atone	1
atonement	2
attached	1
attack	6
attacked	3
attain	14
attained	3
attainment	2
attains	3
attend	2
attendance	1
attendant	2
attending	1
attention	4
attest	1
attract	1
attribute	15
attributed	1
attribution	1
aught	35
augur	2
aunts	2
authority	56
authors	1
avail	18
availed	1
avails	1
average	1
averse	5
aversion	2
avert	8
averted	2
averting	1
avoid	5
avoidance	1
avoided	1
avowed	9
await	4
awaits	1
awake	1
awakening	1
aware	5
away	187
awe	7
awhile	1
ayat	1
ayats	2
aye	19
ayes	1
azar	1
aziz	2
ba	2
baal	1
babble	1
babe	3
babes	1
babylon	1
backbiter	1
backbone	1
backed	1
backs	24
backslide	2
backwards	1
bad	8
bade	1
badr	1
bag	2
baggage	5
bags	1
bait	1
bake	1
baked	3
bakka	1
balance	13
balanced	2
balancing	1
ban	1
band	9
bands	1
banish	2
banishment	1
bank	2
banquet	1
baptism	1
baptize	1
bar	4
bare	9
bargain	5
bargaining	2
barren	8
barrenness	1
barrier	7
barring	2
bartered	2
base	2
based	1
bashfully	1
basic	3
basons	1
bathe	1
battle	3
beacons	1
beaker	1
beakers	1
beam	1
beaming	2
bear	68
beard	1
bearer	9
beareth	2
bearing	1
bearings	1
bears	5
beast	2
beasts	5
beat	2
beautiful	36
beauty	16
beckon	1
beckoning	1
beckons	1
becometh	1
bed	5
bedouin	1
bedouins	1
beds	3
bee	1
befall	5
befallen	1
befalls	7
befitting	1
befogged	1
befriend	1
befriending	1
beg	4
began	10
beget	3
begets	1
begetteth	1
begin	2
beginneth	1
beginning	5
begins	3
begotten	8
beguile	1
behalf	13
behave	8
behaved	3
behaviour	2
behests	2
behold	193
beholders	4
beholdeth	1
behoof	1
beings	17
beleaguer	1
belie	2
belied	1
belief	2
beliefs	1
believe	470
believed	56
believer	11
believers	116
believes	14
believeth	3
believing	28
belittle	1
bellies	2
bellows	1
belong	34
belonged	4
belongeth	14
belonging	3
belongings	1
belongs	33
beloved	2
bend	2
bending	1
beneath	40
beneficent	2
beneficiary	1
benefit	14
benefits	12
bent	2
bequeath	1
bequest	2
bequests	1
beseech	4
best	154
bestow	30
bestowed	63
bestower	1
bestoweth	1
bestows	8
betake	3
bethought	1
betide	1
betimes	1
betook	2
betray	3
betrothal	1
better	76
betterment	1
betwixt	2
beware	8
bewildered	1
bewitched	6
bias	1
bickerings	1
bid	1
bidding	2
bids	1
big	7
biggest	2
billow	2
bind	4
binding	3
bird	5
birds	14
birth	4
births	1
bit	2
bite	2
bitter	5
black	6
blackness	1
blade	1
blame	36
blamed	1
blameworthy	2
blaspheme	6
blasphemed	1
blasphemers	4
blasphemes	1
blasphemies	2
blasphemous	1
blasphemy	12
blast	15
blaze	2
blazes	1
blazing	28
blear	1
blemish	1
bless	2
blessed	19
blessedness	1
blessing	14
blessings	11
blind	31
blinded	2
blindness	2
blinds	1
bliss	27
blissful	1
blocks	1
blood	16
blot	9
blots	3
blotted	3
blow	3
blowing	1
blown	4
blows	1
board	2
boast	1
boaster	2
boastfully	1
boasting	1
boat	4
bodies	15
bodily	1
body	10
boil	2
boiling	16
boldness	1
bolts	1
bond	2
bondage	1
bondman	2
bonds	2
bone	2
bones	14
book	202
books	16
booty	4
borders	2
bore	6
born	8
borrow	1
bosom	2
bosoms	1
bottomless	1
bought	1
bound	5
bounds	28
bounties	15
bountiful	2
bounty	45
bow	38
bowed	9
bowels	1
bowing	7
boy	1
bracelets	5
brain	1
branches	1
brand	3
branded	3
brass	4
braying	1
breach	2
bread	1
break	14
breakers	1
breakest	1
breaking	2
breaks	5
breast	6
breasts	6
breath	3
breathe	1
breathed	5
breathes	1
breathest	1
breathing	1
breed	1
breeding	1
brethren	21
bricks	1
brief	6
bright	1
brightness	4
brilliant	1
brim	1
brimstone	4
brimstones	2
bring	115
bringer	5
bringest	6
bringeth	3
bringing	4
brings	16
brink	1
broad	3
broadcast	3
brocade	4
broke	12
broken	2
brook	1
brother	49
brotherhood	7
brothers	18
brought	91
brunt	1
bubbling	1
bucket	1
build	9
builder	1
building	1
buildings	4
builds	1
built	4
bunches	2
burden	25
burdened	2
burdens	18
buried	7
burn	12
burned	2
burning	8
burnt	3
burrow	1
burst	2
bursting	1
bury	2
busied	1
business	5
buy	2
buyers	1
calamities	2
calamity	12
calculating	1
calf	11
called	42
caller	4
callest	4
calleth	3
calling	9
calls	5
calm	3
calumnies	2
calumny	1
came	132
camel	13
camelry	1
camels	7
camest	1
cancel	2
canopies	1
canopy	7
canst	20
capital	2
captains	1
captive	2
captives	5
captivity	1
caravan	6
carded	1
care	16
careful	1
carefully	2
careth	5
carpet	4
carpets	3
carried	8
carrier	1
carries	7
carry	17
carrying	4
carve	1
carved	1
case	38
cases	4
cast	35
