(Likely) Primary concentration,"Where is your home away from Harvard? Please specify city, state, and country",What operating system(s) do you run on your computer(s)?,How long have you been programming?,How often do you write code?,What is your primary programming language?,"Overall, how comfortable are you with programming?",Tell us something interesting about yourself,Gender,Age
Computer Science,China,Mac OS,Over 3 years,Less than Once per Month,C++,3,i swim,Male,Over 65
Information Technology,"Centreville, VA, USA",Windows XP,Less than 6 months,Weekly,SQL,2,I am 25 years old taking care of my mother and grandmother while working full time and going back to school.  On my spare time I like to hang out with friends and play online video games like World of Warcraft and Left 4 Dead.,Male,25 to 44
Information Management Systems,"Henniker, NH, USA",Mac OS,Over 3 years,Two or more times per Month,Python,4,I play classical guitar and work on math advocacy in my spare time.  I enjoy hiking in the White Mountain National Forest and am working my way through the 48 4k footers.,Male,25 to 44
Computer Science,"Norwalk, CT, USA",Mac OS,Less than 6 months,Weekly,PHP,2,Hmm I learned how to swim and bike this past summer at the age of 18. Pretty late I think.,Female,18 to 24
Human Evolutionary Biology,"Mystic, CT, USA",Windows XP,Between 6 months and 1 year,Weekly,C,4,I am an amateur bird watcher.,Male,18 to 24
Computer Science,"Akron, Ohio USA",Windows XP,1 to 3 years,Two or more times per Month,C,4,I like playing guitar and writing songs in my free time.,Male,18 to 24
Economics,"Frisco, TX, USA",Windows Vista,Over 3 years,Two or more times per Month,PHP,5,I am on the ballroom dance team at school.,Male,18 to 24
Electrical Engineering & Computer Science,"Fremont, CA, USA",Windows XP,1 to 3 years,Weekly,C++,4,I build robots for fun.,Male,18 to 24
Computer Science,"Acton, MA, USA",Windows XP,Over 3 years,Weekly,Java,5,I once took a course where I met someone that could recite PI up to 1000 digits. I also saw him perform this feat up to 100 digits with Robert Martin (of eXtreme Programming fame).,Male,25 to 44
Computer Science,"Bowling Green, KT, USA",Mac OS,Between 6 months and 1 year,Weekly,C,3,I'm a fairly able hatchet-thrower. I can only recite 25 digits of pi. :(,Female,18 to 24
Software Engineering,"Northampton, MA USA",Windows XP,Over 3 years,Daily,C#,4,...Well I wouldn't necessarily call software testing an exciting profession but it doesn allow me to work on some interesting problems. In particular the connection between program proving and testing as well as serve on the board of the TWAIN working group.  My academic background is in math and statistics lately I've been reading a lot about measure and probability theory.  Snowboarding cycling and rowing (sweeps) are how I fill in my free time.,Male,25 to 44
Computer Science,"Dix Hills, NY, USA",Mac OS,Over 3 years,Weekly,Python,5,I am an AB/SM candidate at Harvard so next year I will graduate with both an AB and an SM in computer science. I also sing with a jazz a cappella group on campus called the Harvard Din & Tonics. Besides singing I enjoy playing the saxophone the guitar and piano.,Male,18 to 24
Information Management Systems,"Toronto, Ontario, Canada",Mac OS,Over 3 years,Daily,Ruby,5,I already mentioned that I'm a painter. I also happen to know how to sculpt (clay). Surrealism with oil or acrylics on canvas is my specialty. I was born in London lived in Cameroon Sudan Italy Pakistan US England and Canada. Over the last three years working as an Agile software consultant for ThoughtWorks I've worked on projects in Chicago Madison New York London Calgary and Toronto.,Male,18 to 24
Applied Mathematics,"Krakovany, Slovakia",Mac OS,Over 3 years,Weekly,Ruby,4,I enjoy winter sports much more than summer sports: from skiing snowboarding to ice hockey.,Male,18 to 24
Molecular and Cellular Biology,"Lexington, MA, USA",Windows XP,Over 3 years,Weekly,PHP,5,I have made too many websites (more than 10).,Male,18 to 24
Economics,"Fishers, IN, USA",Windows XP,1 to 3 years,Less than Once per Month,C,4,I sing in the Harvard Din & Tonics and have traveled to over 30 different countries in the past 3 years.,Male,18 to 24
Computer Science,"Hope, NJ, USA",Windows Vista,1 to 3 years,Weekly,C,3,I am a Harvard Varsity Football player. I can bench press 380lbs. I'm pursuing a secondary field in Philosophy.,Male,18 to 24
Psychology,"Inglewood, CA, USA",Windows XP,Less than 6 months,Less than Once per Month,PHP,3,I write a blog about my favorite Mexican soccer team,Male,18 to 24
